# phi V_T=1e-05 V_T=1e-03 V_T=1e-01
4.450000000000000067e-01 -5.195050326105592935e-04 -2.455683585103602242e-04 -6.724480478127212266e-05
4.475000000000000089e-01 -5.312779563253644142e-04 -2.511246443904361692e-04 -6.887796208728283150e-05
4.500000000000000111e-01 -5.432498522282921570e-04 -2.567746887767797300e-04 -7.053514830695019105e-05
4.525000000000000133e-01 -5.554229496529438162e-04 -2.625195405157185126e-04 -7.221653191912703201e-05
4.550000000000000155e-01 -5.677994903525088307e-04 -2.683602542875329643e-04 -7.392228146323578995e-05
4.575000000000000178e-01 -5.803817284997647838e-04 -2.742978906064564280e-04 -7.565256553752741219e-05
4.600000000000000200e-01 -5.931719306870767523e-04 -2.803335158206758464e-04 -7.740755279757317831e-05
4.625000000000000222e-01 -6.061723759263976325e-04 -2.864682021123305159e-04 -7.918741195495015929e-05
4.650000000000000244e-01 -6.193853556492686816e-04 -2.927030274975130617e-04 -8.099231177609087895e-05
4.675000000000000266e-01 -6.328131737068187594e-04 -2.990390758262690047e-04 -8.282242108127094019e-05
4.700000000000000289e-01 -6.464581463697650866e-04 -3.054774367825970863e-04 -8.467790874371393481e-05
4.725000000000000311e-01 -6.603226023284124863e-04 -3.120192058844489433e-04 -8.655894368879815985e-05
4.750000000000000333e-01 -6.744088826926532753e-04 -3.186654844837288913e-04 -8.846569489334906724e-05
4.775000000000000355e-01 -6.887193409919686740e-04 -3.254173797662952253e-04 -9.039833138500739083e-05
4.799999999999999822e-01 -7.032563431754265291e-04 -3.322760047519577806e-04 -9.235702224166218992e-05
4.824999999999999845e-01 -7.180222676116843495e-04 -3.392424782944809683e-04 -9.434193659094062374e-05
4.849999999999999867e-01 -7.330195050889864875e-04 -3.463179250815811737e-04 -9.635324360974721971e-05
4.874999999999999889e-01 -7.482504588151646808e-04 -3.535034756349281107e-04 -9.839111252384748565e-05
4.899999999999999911e-01 -7.637175444176395704e-04 -3.608002663101447685e-04 -1.004557126074894147e-04
4.924999999999999933e-01 -7.794231899434199418e-04 -3.682094392968063810e-04 -1.025472131830593327e-04
4.949999999999999956e-01 -7.953698358591009899e-04 -3.757321426184421619e-04 -1.046657836207680483e-04
4.974999999999999978e-01 -8.115599350508674635e-04 -3.833695301325338407e-04 -1.068115933383639193e-04
5.000000000000000000e-01 -8.279959528244914971e-04 -3.911227615305157713e-04 -1.089848118008699063e-04
5.025000000000000577e-01 -8.446803669053327187e-04 -3.989930023377764499e-04 -1.111856085203423108e-04
5.050000000000000044e-01 -8.616156674383382503e-04 -4.069814239136559128e-04 -1.134141530556485134e-04
5.075000000000000622e-01 -8.788043569880455265e-04 -4.150892034514489350e-04 -1.156706150122629274e-04
5.100000000000000089e-01 -8.962489505385765488e-04 -4.233175239784012895e-04 -1.179551640420772358e-04
5.124999999999999556e-01 -9.139519754936438478e-04 -4.316675743557134878e-04 -1.202679698432264859e-04
5.150000000000000133e-01 -9.319159716765474484e-04 -4.401405492785388828e-04 -1.226092021599267971e-04
5.174999999999999600e-01 -9.501434913301740016e-04 -4.487376492759821505e-04 -1.249790307823252537e-04
5.200000000000000178e-01 -9.686370991169992789e-04 -4.574600807111035188e-04 -1.273776255463604490e-04
5.224999999999999645e-01 -9.873993721190863285e-04 -4.663090557809135089e-04 -1.298051563336321645e-04
5.250000000000000222e-01 -1.006432899838087102e-03 -4.752857925163785731e-04 -1.322617930712812807e-04
5.274999999999999689e-01 -1.025740284195239636e-03 -4.843915147824153487e-04 -1.347477057318753396e-04
5.300000000000000266e-01 -1.045324139531372386e-03 -4.936274522778961874e-04 -1.372630643333048951e-04
5.324999999999999734e-01 -1.065187092606899137e-03 -5.029948405356432463e-04 -1.398080389386827365e-04
5.350000000000000311e-01 -1.085331782601823766e-03 -5.124949209224355894e-04 -1.423827996562531946e-04
5.374999999999999778e-01 -1.105760861115736779e-03 -5.221289406390014357e-04 -1.449875166393040505e-04
5.400000000000000355e-01 -1.126476992167817041e-03 -5.318981527200250439e-04 -1.476223600860861965e-04
5.424999999999999822e-01 -1.147482852196830480e-03 -5.418038160341413995e-04 -1.502875002397360067e-04
5.450000000000000400e-01 -1.168781130061133985e-03 -5.518471952839412026e-04 -1.529831073882044847e-04
5.474999999999999867e-01 -1.190374527038667168e-03 -5.620295610059644707e-04 -1.557093518641883625e-04
5.500000000000000444e-01 -1.212265756826962993e-03 -5.723521895707083451e-04 -1.584664040450673252e-04
5.524999999999999911e-01 -1.234457545543138444e-03 -5.828163631826193932e-04 -1.612544343528425910e-04
5.550000000000000488e-01 -1.256952631723901037e-03 -5.934233698800995714e-04 -1.640736132540810744e-04
5.574999999999999956e-01 -1.279753766325542963e-03 -6.041745035355022136e-04 -1.669241112598603637e-04
5.600000000000000533e-01 -1.302863712723949111e-03 -6.150710638551358262e-04 -1.698060989257190638e-04
5.625000000000000000e-01 -1.326285246714587526e-03 -6.261143563792589918e-04 -1.727197468516073029e-04
