# S_vals   V0
1.7267267267e+00 -4.2716953218e-03
1.7297297297e+00 -4.2823769835e-03
1.7327327327e+00 -4.2929814708e-03
1.7357357357e+00 -4.3035078229e-03
1.7387387387e+00 -4.3139550752e-03
1.7417417417e+00 -4.3243222589e-03
1.7447447447e+00 -4.3346084012e-03
1.7477477477e+00 -4.3448125249e-03
1.7507507508e+00 -4.3549336492e-03
1.7537537538e+00 -4.3649707889e-03
1.7567567568e+00 -4.3749229547e-03
1.7597597598e+00 -4.3847891534e-03
1.7627627628e+00 -4.3945683876e-03
1.7657657658e+00 -4.4042596556e-03
1.7687687688e+00 -4.4138619521e-03
1.7717717718e+00 -4.4233742670e-03
1.7747747748e+00 -4.4327955868e-03
1.7777777778e+00 -4.4421248933e-03
1.7807807808e+00 -4.4513611644e-03
1.7837837838e+00 -4.4605033740e-03
1.7867867868e+00 -4.4695504917e-03
1.7897897898e+00 -4.4785014830e-03
1.7927927928e+00 -4.4873553092e-03
1.7957957958e+00 -4.4961109277e-03
1.7987987988e+00 -4.5047672914e-03
1.8018018018e+00 -4.5133233493e-03
1.8048048048e+00 -4.5217780462e-03
1.8078078078e+00 -4.5301303227e-03
1.8108108108e+00 -4.5383791151e-03
1.8138138138e+00 -4.5465233559e-03
1.8168168168e+00 -4.5545619731e-03
1.8198198198e+00 -4.5624938905e-03
1.8228228228e+00 -4.5703180281e-03
1.8258258258e+00 -4.5780333012e-03
1.8288288288e+00 -4.5856386214e-03
1.8318318318e+00 -4.5931328957e-03
1.8348348348e+00 -4.6005150272e-03
1.8378378378e+00 -4.6077839147e-03
1.8408408408e+00 -4.6149384527e-03
1.8438438438e+00 -4.6219775316e-03
1.8468468468e+00 -4.6289000376e-03
1.8498498498e+00 -4.6357048526e-03
1.8528528529e+00 -4.6423908543e-03
1.8558558559e+00 -4.6489569163e-03
1.8588588589e+00 -4.6554019078e-03
1.8618618619e+00 -4.6617246939e-03
1.8648648649e+00 -4.6679241354e-03
1.8678678679e+00 -4.6739990888e-03
1.8708708709e+00 -4.6799484065e-03
1.8738738739e+00 -4.6857709366e-03
1.8768768769e+00 -4.6914655228e-03
1.8798798799e+00 -4.6970310049e-03
1.8828828829e+00 -4.7024662180e-03
1.8858858859e+00 -4.7077699933e-03
1.8888888889e+00 -4.7129411574e-03
1.8918918919e+00 -4.7179785331e-03
1.8948948949e+00 -4.7228809385e-03
1.8978978979e+00 -4.7276471875e-03
1.9009009009e+00 -4.7322760899e-03
1.9039039039e+00 -4.7367664510e-03
1.9069069069e+00 -4.7411170721e-03
1.9099099099e+00 -4.7453267498e-03
1.9129129129e+00 -4.7493942768e-03
1.9159159159e+00 -4.7533184412e-03
1.9189189189e+00 -4.7570980270e-03
1.9219219219e+00 -4.7607318138e-03
1.9249249249e+00 -4.7642185769e-03
1.9279279279e+00 -4.7675570873e-03
1.9309309309e+00 -4.7707461117e-03
1.9339339339e+00 -4.7737844123e-03
1.9369369369e+00 -4.7766707473e-03
1.9399399399e+00 -4.7794038703e-03
1.9429429429e+00 -4.7819825306e-03
1.9459459459e+00 -4.7844054734e-03
1.9489489489e+00 -4.7866714392e-03
1.9519519520e+00 -4.7887791644e-03
1.9549549550e+00 -4.7907273810e-03
1.9579579580e+00 -4.7925148166e-03
1.9609609610e+00 -4.7941401946e-03
1.9639639640e+00 -4.7956022337e-03
1.9669669670e+00 -4.7968996486e-03
1.9699699700e+00 -4.7980311494e-03
1.9729729730e+00 -4.7989954421e-03
1.9759759760e+00 -4.7997912279e-03
1.9789789790e+00 -4.8004172040e-03
1.9819819820e+00 -4.8008720631e-03
1.9849849850e+00 -4.8011544934e-03
1.9879879880e+00 -4.8012631788e-03
1.9909909910e+00 -4.8011967990e-03
