# S_vals   V_full,   V_ht,   V_zero
1.3363363363e+00 -4.8063656741e-03 -8.9480960010e-03 -4.8296539812e-03
1.3413413413e+00 -4.8319861450e-03 -9.0565083605e-03 -4.8554948536e-03
1.3463463463e+00 -4.8571913719e-03 -9.1658069026e-03 -4.8809236894e-03
1.3513513514e+00 -4.8819698588e-03 -9.2759954779e-03 -4.9059295396e-03
1.3563563564e+00 -4.9063116709e-03 -9.3870779402e-03 -4.9305013556e-03
1.3613613614e+00 -4.9302028237e-03 -9.4990581464e-03 -4.9546279896e-03
1.3663663664e+00 -4.9536348187e-03 -9.6119399561e-03 -4.9782981939e-03
1.3713713714e+00 -4.9765951976e-03 -9.7257272321e-03 -5.0015006212e-03
1.3763763764e+00 -4.9990734547e-03 -9.8404238401e-03 -5.0242238236e-03
1.3813813814e+00 -5.0210556370e-03 -9.9560336487e-03 -5.0464562531e-03
1.3863863864e+00 -5.0425331186e-03 -1.0072560530e-02 -5.0681862611e-03
1.3913913914e+00 -5.0634918045e-03 -1.0190008358e-02 -5.0894020983e-03
1.3963963964e+00 -5.0839221757e-03 -1.0308381010e-02 -5.1100919143e-03
1.4014014014e+00 -5.1038096569e-03 -1.0427682368e-02 -5.1302437575e-03
1.4064064064e+00 -5.1231435034e-03 -1.0547916314e-02 -5.1498455748e-03
1.4114114114e+00 -5.1419114225e-03 -1.0669086736e-02 -5.1688852118e-03
1.4164164164e+00 -5.1601007651e-03 -1.0791197523e-02 -5.1873504119e-03
1.4214214214e+00 -5.1777007688e-03 -1.0914252567e-02 -5.2052288166e-03
1.4264264264e+00 -5.1946976322e-03 -1.1038255764e-02 -5.2225079653e-03
1.4314314314e+00 -5.2110783048e-03 -1.1163211013e-02 -5.2391752948e-03
1.4364364364e+00 -5.2268304728e-03 -1.1289122214e-02 -5.2552181393e-03
1.4414414414e+00 -5.2419422439e-03 -1.1415993273e-02 -5.2706237300e-03
1.4464464464e+00 -5.2564003329e-03 -1.1543828096e-02 -5.2853791953e-03
1.4514514515e+00 -5.2701903117e-03 -1.1672630595e-02 -5.2994715600e-03
1.4564564565e+00 -5.2833009587e-03 -1.1802404682e-02 -5.3128877459e-03
1.4614614615e+00 -5.2957194944e-03 -1.1933154274e-02 -5.3256145706e-03
1.4664664665e+00 -5.3074307689e-03 -1.2064883290e-02 -5.3376387482e-03
1.4714714715e+00 -5.3184225057e-03 -1.2197595653e-02 -5.3489468886e-03
1.4764764765e+00 -5.3286804781e-03 -1.2331295288e-02 -5.3595254974e-03
1.4814814815e+00 -5.3381916022e-03 -1.2465986123e-02 -5.3693609758e-03
1.4864864865e+00 -5.3469425299e-03 -1.2601672089e-02 -5.3784396203e-03
1.4914914915e+00 -5.3549185609e-03 -1.2738357121e-02 -5.3867476225e-03
1.4964964965e+00 -5.3621062250e-03 -1.2876045156e-02 -5.3942710690e-03
1.5015015015e+00 -5.3684917975e-03 -1.3014740133e-02 -5.4009959412e-03
