# S_vals,  V_ht_pi,   V_ht_pi_over4,   V_ht_pi_by4
4.6246246246e-02 -2.2016621487e+02 -2.3156416683e+02 -2.1172573420e+02
4.6446446446e-02 -2.2403282993e+02 -2.3560611113e+02 -2.1546762273e+02
4.6646646647e-02 -2.2794685326e+02 -2.3969755536e+02 -2.1925547830e+02
4.6846846847e-02 -2.3190864090e+02 -2.4383887296e+02 -2.2308964517e+02
4.7047047047e-02 -2.3591855010e+02 -2.4803043860e+02 -2.2697046871e+02
4.7247247247e-02 -2.3997693925e+02 -2.5227262825e+02 -2.3089829544e+02
4.7447447447e-02 -2.4408416795e+02 -2.5656581908e+02 -2.3487347298e+02
4.7647647648e-02 -2.4824059696e+02 -2.6091038956e+02 -2.3889635009e+02
4.7847847848e-02 -2.5244658822e+02 -2.6530671939e+02 -2.4296727666e+02
4.8048048048e-02 -2.5670250487e+02 -2.6975518952e+02 -2.4708660370e+02
4.8248248248e-02 -2.6100871118e+02 -2.7425618218e+02 -2.5125468334e+02
4.8448448448e-02 -2.6536557266e+02 -2.7881008083e+02 -2.5547186886e+02
4.8648648649e-02 -2.6977345594e+02 -2.8341727019e+02 -2.5973851465e+02
4.8848848849e-02 -2.7423272887e+02 -2.8807813624e+02 -2.6405497622e+02
4.9049049049e-02 -2.7874376047e+02 -2.9279306621e+02 -2.6842161021e+02
4.9249249249e-02 -2.8330692091e+02 -2.9756244859e+02 -2.7283877440e+02
4.9449449449e-02 -2.8792258158e+02 -3.0238667310e+02 -2.7730682768e+02
4.9649649650e-02 -2.9259111501e+02 -3.0726613076e+02 -2.8182613008e+02
4.9849849850e-02 -2.9731289495e+02 -3.1220121379e+02 -2.8639704275e+02
5.0050050050e-02 -3.0208829629e+02 -3.1719231572e+02 -2.9101992796e+02
5.0250250250e-02 -3.0691769511e+02 -3.2223983128e+02 -2.9569514912e+02
5.0450450450e-02 -3.1180146868e+02 -3.2734415649e+02 -3.0042307076e+02
5.0650650651e-02 -3.1673999544e+02 -3.3250568861e+02 -3.0520405852e+02
5.0850850851e-02 -3.2173365500e+02 -3.3772482617e+02 -3.1003847920e+02
5.1051051051e-02 -3.2678282817e+02 -3.4300196893e+02 -3.1492670070e+02
5.1251251251e-02 -3.3188789691e+02 -3.4833751792e+02 -3.1986909206e+02
5.1451451451e-02 -3.3704924438e+02 -3.5373187543e+02 -3.2486602343e+02
5.1651651652e-02 -3.4226725491e+02 -3.5918544497e+02 -3.2991786611e+02
5.1851851852e-02 -3.4754231402e+02 -3.6469863136e+02 -3.3502499251e+02
5.2052052052e-02 -3.5287480838e+02 -3.7027184062e+02 -3.4018777618e+02
5.2252252252e-02 -3.5826512587e+02 -3.7590548005e+02 -3.4540659177e+02
5.2452452452e-02 -3.6371365552e+02 -3.8159995822e+02 -3.5068181508e+02
5.2652652653e-02 -3.6922078757e+02 -3.8735568491e+02 -3.5601382304e+02
5.2852852853e-02 -3.7478691342e+02 -3.9317307120e+02 -3.6140299368e+02
5.3053053053e-02 -3.8041242564e+02 -3.9905252939e+02 -3.6684970619e+02
5.3253253253e-02 -3.8609771798e+02 -4.0499447305e+02 -3.7235434085e+02
5.3453453453e-02 -3.9184318540e+02 -4.1099931702e+02 -3.7791727911e+02
5.3653653654e-02 -3.9764922400e+02 -4.1706747735e+02 -3.8353890350e+02
5.3853853854e-02 -4.0351623107e+02 -4.2319937139e+02 -3.8921959771e+02
5.4054054054e-02 -4.0944460508e+02 -4.2939541772e+02 -3.9495974654e+02
5.4254254254e-02 -4.1543474570e+02 -4.3565603617e+02 -4.0075973593e+02
5.4454454454e-02 -4.2148705373e+02 -4.4198164784e+02 -4.0661995293e+02
5.4654654655e-02 -4.2760193119e+02 -4.4837267508e+02 -4.1254078572e+02
5.4854854855e-02 -4.3377978126e+02 -4.5482954149e+02 -4.1852262363e+02
5.5055055055e-02 -4.4002100831e+02 -4.6135267192e+02 -4.2456585708e+02
5.5255255255e-02 -4.4632601787e+02 -4.6794249249e+02 -4.3067087764e+02
5.5455455455e-02 -4.5269521667e+02 -4.7459943056e+02 -4.3683807799e+02
5.5655655656e-02 -4.5912901260e+02 -4.8132391474e+02 -4.4306785196e+02
5.5855855856e-02 -4.6562781474e+02 -4.8811637491e+02 -4.4936059450e+02
5.6056056056e-02 -4.7219203333e+02 -4.9497724219e+02 -4.5571670165e+02
5.6256256256e-02 -4.7882207983e+02 -5.0190694897e+02 -4.6213657064e+02
5.6456456456e-02 -4.8551836682e+02 -5.0890592888e+02 -4.6862059976e+02
5.6656656657e-02 -4.9228130811e+02 -5.1597461681e+02 -4.7516918849e+02
5.6856856857e-02 -4.9911131865e+02 -5.2311344890e+02 -4.8178273738e+02
5.7057057057e-02 -5.0600881461e+02 -5.3032286255e+02 -4.8846164814e+02
5.7257257257e-02 -5.1297421329e+02 -5.3760329642e+02 -4.9520632361e+02
5.7457457457e-02 -5.2000793320e+02 -5.4495519039e+02 -5.0201716773e+02
5.7657657658e-02 -5.2711039402e+02 -5.5237898565e+02 -5.0889458558e+02
5.7857857858e-02 -5.3428201661e+02 -5.5987512459e+02 -5.1583898337e+02
5.8058058058e-02 -5.4152322301e+02 -5.6744405089e+02 -5.2285076844e+02
5.8258258258e-02 -5.4883443643e+02 -5.7508620947e+02 -5.2993034925e+02
5.8458458458e-02 -5.5621608126e+02 -5.8280204651e+02 -5.3707813538e+02
5.8658658659e-02 -5.6366858308e+02 -5.9059200943e+02 -5.4429453755e+02
5.8858858859e-02 -5.7119236864e+02 -5.9845654692e+02 -5.5157996759e+02
5.9059059059e-02 -5.7878786586e+02 -6.0639610893e+02 -5.5893483847e+02
5.9259259259e-02 -5.8645550385e+02 -6.1441114664e+02 -5.6635956429e+02
5.9459459459e-02 -5.9419571290e+02 -6.2250211250e+02 -5.7385456025e+02
5.9659659660e-02 -6.0200892447e+02 -6.3066946021e+02 -5.8142024272e+02
5.9859859860e-02 -6.0989557120e+02 -6.3891364472e+02 -5.8905702915e+02
6.0060060060e-02 -6.1785608691e+02 -6.4723512226e+02 -5.9676533815e+02
