# S_vals   V_full
1.4234234234e+00 1.1042443919e-03
1.4264264264e+00 1.0984364402e-03
1.4294294294e+00 1.0926153047e-03
1.4324324324e+00 1.0867815694e-03
1.4354354354e+00 1.0809358225e-03
1.4384384384e+00 1.0750786569e-03
1.4414414414e+00 1.0692106693e-03
1.4444444444e+00 1.0633324601e-03
1.4474474474e+00 1.0574446353e-03
1.4504504505e+00 1.0515469961e-03
1.4534534535e+00 1.0456408919e-03
1.4564564565e+00 1.0397249187e-03
1.4594594595e+00 1.0338010279e-03
1.4624624625e+00 1.0278705824e-03
1.4654654655e+00 1.0219342126e-03
1.4684684685e+00 1.0159925533e-03
1.4714714715e+00 1.0100460296e-03
1.4744744745e+00 1.0040946468e-03
1.4774774775e+00 9.9813988432e-04
1.4804804805e+00 9.9218239747e-04
1.4834834835e+00 9.8622283912e-04
1.4864864865e+00 9.8026186490e-04
1.4894894895e+00 9.7430014313e-04
1.4924924925e+00 9.6833719339e-04
1.4954954955e+00 9.6237475697e-04
1.4984984985e+00 9.5641357368e-04
1.5015015015e+00 9.5045432388e-04
1.5045045045e+00 9.4449769282e-04
1.5075075075e+00 9.3854363396e-04
1.5105105105e+00 9.3259297252e-04
1.5135135135e+00 9.2664699478e-04
1.5165165165e+00 9.2070640240e-04
1.5195195195e+00 9.1477190147e-04
1.5225225225e+00 9.0884314343e-04
1.5255255255e+00 9.0292151845e-04
1.5285285285e+00 8.9700811386e-04
1.5315315315e+00 8.9110365218e-04
1.5345345345e+00 8.8520832571e-04
1.5375375375e+00 8.7932241339e-04
1.5405405405e+00 8.7344762398e-04
1.5435435435e+00 8.6758469668e-04
1.5465465465e+00 8.6173390585e-04
1.5495495495e+00 8.5589534301e-04
1.5525525526e+00 8.5007087301e-04
1.5555555556e+00 8.4426125113e-04
1.5585585586e+00 8.3846640812e-04
1.5615615616e+00 8.3268710663e-04
1.5645645646e+00 8.2692493529e-04
1.5675675676e+00 8.2118066579e-04
1.5705705706e+00 8.1545348620e-04
1.5735735736e+00 8.0974563259e-04
1.5765765766e+00 8.0405801269e-04
1.5795795796e+00 7.9839046741e-04
1.5825825826e+00 7.9274391635e-04
1.5855855856e+00 7.8711996945e-04
1.5885885886e+00 7.8151887160e-04
1.5915915916e+00 7.7594072485e-04
1.5945945946e+00 7.7038759048e-04
1.5975975976e+00 7.6485988332e-04
1.6006006006e+00 7.5935735980e-04
1.6036036036e+00 7.5388229423e-04
1.6066066066e+00 7.4843504951e-04
1.6096096096e+00 7.4301548394e-04
1.6126126126e+00 7.3762585940e-04
1.6156156156e+00 7.3226627573e-04
1.6186186186e+00 7.2693711850e-04
1.6216216216e+00 7.2164042346e-04
1.6246246246e+00 7.1637582673e-04
1.6276276276e+00 7.1114306314e-04
1.6306306306e+00 7.0594416372e-04
1.6336336336e+00 7.0077926225e-04
1.6366366366e+00 6.9565098764e-04
1.6396396396e+00 6.9055962426e-04
1.6426426426e+00 6.8550542351e-04
1.6456456456e+00 6.8049058586e-04
1.6486486486e+00 6.7551430448e-04
1.6516516517e+00 6.7057879335e-04
1.6546546547e+00 6.6568453797e-04
1.6576576577e+00 6.6083188989e-04
1.6606606607e+00 6.5602305666e-04
1.6636636637e+00 6.5125689191e-04
1.6666666667e+00 6.4653630309e-04
1.6696696697e+00 6.4186088954e-04
1.6726726727e+00 6.3723216842e-04
1.6756756757e+00 6.3265104571e-04
1.6786786787e+00 6.2811785065e-04
1.6816816817e+00 6.2363459657e-04
1.6846846847e+00 6.1920062072e-04
1.6876876877e+00 6.1481873675e-04
1.6906906907e+00 6.1048782263e-04
1.6936936937e+00 6.0621077109e-04
1.6966966967e+00 6.0198687264e-04
1.6996996997e+00 5.9781843276e-04
1.7027027027e+00 5.9370525943e-04
1.7057057057e+00 5.8964924524e-04
1.7087087087e+00 5.8565054429e-04
1.7117117117e+00 5.8171080443e-04
1.7147147147e+00 5.7783035988e-04
1.7177177177e+00 5.7401077727e-04
1.7207207207e+00 5.7025241115e-04
1.7237237237e+00 5.6655690362e-04
1.7267267267e+00 5.6292447456e-04
1.7297297297e+00 5.5935699406e-04
1.7327327327e+00 5.5585439840e-04
1.7357357357e+00 5.5241893163e-04
1.7387387387e+00 5.4905010182e-04
1.7417417417e+00 5.4575062201e-04
1.7447447447e+00 5.4251957572e-04
1.7477477477e+00 5.3935980219e-04
1.7507507508e+00 5.3627088250e-04
1.7537537538e+00 5.3325484076e-04
1.7567567568e+00 5.3031215476e-04
1.7597597598e+00 5.2744390773e-04
1.7627627628e+00 5.2465159727e-04
1.7657657658e+00 5.2193524317e-04
1.7687687688e+00 5.1929723646e-04
1.7717717718e+00 5.1673715914e-04
1.7747747748e+00 5.1425723763e-04
1.7777777778e+00 5.1185803770e-04
1.7807807808e+00 5.0954039187e-04
1.7837837838e+00 5.0730226031e-04
1.7867867868e+00 5.0514676699e-04
1.7897897898e+00 5.0307679503e-04
1.7927927928e+00 5.0109288235e-04
1.7957957958e+00 4.9919578410e-04
1.7987987988e+00 4.9738746136e-04
1.8018018018e+00 4.9566789451e-04
1.8048048048e+00 4.9403891491e-04
1.8078078078e+00 4.9250186345e-04
1.8108108108e+00 4.9105659977e-04
1.8138138138e+00 4.8970550795e-04
1.8168168168e+00 4.8844935922e-04
1.8198198198e+00 4.8728859037e-04
1.8228228228e+00 4.8622528142e-04
1.8258258258e+00 4.8526012438e-04
1.8288288288e+00 4.8439382791e-04
1.8318318318e+00 4.8362832259e-04
1.8348348348e+00 4.8296436446e-04
1.8378378378e+00 4.8240264359e-04
1.8408408408e+00 4.8194508743e-04
1.8438438438e+00 4.8159265239e-04
1.8468468468e+00 4.8134573524e-04
1.8498498498e+00 4.8120639852e-04
1.8528528529e+00 4.8117578123e-04
1.8558558559e+00 4.8125416825e-04
1.8588588589e+00 4.8144344619e-04
1.8618618619e+00 4.8174491651e-04
1.8648648649e+00 4.8215937487e-04
1.8678678679e+00 4.8268778632e-04
1.8708708709e+00 4.8333190530e-04
1.8738738739e+00 4.8409290403e-04
1.8768768769e+00 4.8497134089e-04
1.8798798799e+00 4.8596879354e-04
1.8828828829e+00 4.8708669757e-04
1.8858858859e+00 4.8832624472e-04
1.8888888889e+00 4.8968799218e-04
1.8918918919e+00 4.9117365188e-04
1.8948948949e+00 4.9278458264e-04
1.8978978979e+00 4.9452199494e-04
1.9009009009e+00 4.9638666613e-04
1.9039039039e+00 4.9837999575e-04
1.9069069069e+00 5.0050349072e-04
1.9099099099e+00 5.0275838100e-04
1.9129129129e+00 5.0514587104e-04
1.9159159159e+00 5.0766662918e-04
1.9189189189e+00 5.1032252216e-04
1.9219219219e+00 5.1311479843e-04
1.9249249249e+00 5.1604371456e-04
1.9279279279e+00 5.1910990414e-04
1.9309309309e+00 5.2231570224e-04
1.9339339339e+00 5.2566294023e-04
1.9369369369e+00 5.2915289298e-04
1.9399399399e+00 5.3278683787e-04
1.9429429429e+00 5.3656605749e-04
1.9459459459e+00 5.4049171798e-04
1.9489489489e+00 5.4456489756e-04
1.9519519520e+00 5.4878724421e-04
1.9549549550e+00 5.5316005929e-04
1.9579579580e+00 5.5768464855e-04
1.9609609610e+00 5.6236232216e-04
1.9639639640e+00 5.6719439587e-04
1.9669669670e+00 5.7218202583e-04
1.9699699700e+00 5.7732651132e-04
1.9729729730e+00 5.8262938680e-04
1.9759759760e+00 5.8809198622e-04
1.9789789790e+00 5.9371564841e-04
1.9819819820e+00 5.9950171668e-04
1.9849849850e+00 6.0545153958e-04
1.9879879880e+00 6.1156646949e-04
1.9909909910e+00 6.1784786438e-04
1.9939939940e+00 6.2429695201e-04
1.9969969970e+00 6.3091513670e-04
2.0000000000e+00 6.3770390159e-04
2.0030030030e+00 6.4466462286e-04
2.0060060060e+00 6.5179868147e-04
2.0090090090e+00 6.5910746337e-04
2.0120120120e+00 6.6659235869e-04
2.0150150150e+00 6.7425476274e-04
2.0180180180e+00 6.8209607534e-04
2.0210210210e+00 6.9011770073e-04
2.0240240240e+00 6.9832104882e-04
2.0270270270e+00 7.0670753292e-04
2.0300300300e+00 7.1527857170e-04
2.0330330330e+00 7.2403558893e-04
2.0360360360e+00 7.3298001252e-04
2.0390390390e+00 7.4211327483e-04
2.0420420420e+00 7.5143681339e-04
2.0450450450e+00 7.6095207064e-04
2.0480480480e+00 7.7066049328e-04
2.0510510511e+00 7.8056353259e-04
2.0540540541e+00 7.9066264472e-04
2.0570570571e+00 8.0095890645e-04
2.0600600601e+00 8.1145198142e-04
2.0630630631e+00 8.2214552222e-04
2.0660660661e+00 8.3304100410e-04
2.0690690691e+00 8.4413990592e-04
2.0720720721e+00 8.5544371262e-04
2.0750750751e+00 8.6695391239e-04
2.0780780781e+00 8.7867199978e-04
2.0810810811e+00 8.9059947236e-04
2.0840840841e+00 9.0273783366e-04
2.0870870871e+00 9.1508859074e-04
2.0900900901e+00 9.2765325664e-04
